Bloco Temático,Disciplina,Tópico,Subtópico,Peso
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,Política e educação patrimoniais,,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Gestão de acervos e ações educativas em museus, arquivos e sítios históricos.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Proteção/prom. diversidade de expressões culturais; Patrimônio Mundial, Cultural e Natural.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,Gestão cultural,,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Inovação, economia da cultura e sustentabilidade cultural.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Instrumentos de fomento à cultura: Pronac/Rouanet, Lei do Audiovisual, Lei Paulo Gustavo, PNAB (leis relevantes).",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Política de editais e de descentralização.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,Direitos culturais,,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Cultura como direito fundamental.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Direitos autorais: Lei de Direitos Autorais – LDA (Lei nº 9.610/1998).",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Saberes tradicionais e culturas sustentáveis: Programa Cultura Viva (Lei nº 13.018/2014).",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Fundamentos metodológicos da pesquisa",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Abordagens quantitativas, qualitativas e mistas",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Definição de problema, hipóteses e desenho de pesquisa",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Técnicas de coleta e análise de dados",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Pesquisa aplicada para políticas públicas",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Tipos e usos da pesquisa aplicada no setor público",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Estudos de caso e aplicações em educação, cultura e sociedade",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Articulação entre universidade, sociedade civil e Estado",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Ciclo da pesquisa e suas etapas",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Planejamento, execução, comunicação e gestão de projetos de pesquisa",,não informado
Bloco 2 – Cultura e Educação,Pesquisa,"Ética em pesquisa",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Análise de indicadores",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Tipos de indicadores: resultado, impacto, processo",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Construção, validação e interpretação de indicadores",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Sistemas de monitoramento e acompanhamento de políticas",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Métodos quantitativos e análise de dados",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Tratamento de bases de dados",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Ferramentas de Big Data e bases de dados",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Análise exploratória e inferencial de dados",,não informado
Bloco 2 – Cultura e Educação,Avaliação,"Modelos multivariados",,não informado
