Bloco Temático,Disciplina,Tópico,Subtópico,Peso
Bloco 5,"Políticas Públicas","2. Implementação de políticas públicas: problemas, dilemas e desafios","2.2. Instrumentos de implementação (fundos, consórcios, transferências obrigatórias, etc.)",não informado
Bloco 5,"Políticas Públicas","3. Monitoramento e avaliação de políticas públicas","3.1. Sistemas de monitoramento",não informado
Bloco 5,"Políticas Públicas","3. Monitoramento e avaliação de políticas públicas","3.2. Tipos e modalidades de avaliação",não informado
Bloco 5,"Políticas Públicas","3. Monitoramento e avaliação de políticas públicas","3.3. Custo-benefício, efetividade e equidade",não informado
Bloco 5,"Políticas Públicas","4. Políticas públicas informadas por evidência","4.1. Conceito e tipos de evidência",não informado
Bloco 5,"Políticas Públicas","4. Políticas públicas informadas por evidência","4.2. Institucionalização e governança do uso de evidências",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.1. Orçamento público: conceito e funções",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.2. Técnicas e princípios orçamentários",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.3. Ciclo orçamentário e processos (PPA, LDO, LOA, créditos)",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.4. Ciclo orçamentário (continuação): elaboração, aprovação e execução",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.5. Orçamento anual e créditos: ordinários e adicionais",não informado
Bloco 5,"Administração Financeira e Orçamentária","1. O papel do Estado e atuação do governo nas finanças públicas","1.6. Emendas parlamentares",não informado
Bloco 5,"Administração Financeira e Orçamentária","2. Contabilidade Pública: princípios fundamentais","2.1. Patrimônio (componentes: ativo, passivo, patrimônio líquido)",não informado
Bloco 5,"Administração Financeira e Orçamentária","2. Contabilidade Pública: princípios fundamentais","2.2. Fatos contábeis e variações patrimoniais na área pública",não informado
Bloco 5,"Administração Financeira e Orçamentária","3. Receita pública","3.1. Conceito e classificações de receita",não informado
Bloco 5,"Administração Financeira e Orçamentária","3. Receita pública","3.2. Estágios da receita pública",não informado
Bloco 5,"Administração Financeira e Orçamentária","3. Receita pública","3.3. Fontes de receita pública",não informado
Bloco 5,"Administração Financeira e Orçamentária","3. Receita pública","3.4. Dívida ativa",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.1. Conceito e classificações de despesa",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.2. Estágios da despesa pública",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.3. Restos a pagar",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.4. Despesas de exercícios anteriores",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.5. Dívida flutuante e fundada",não informado
Bloco 5,"Administração Financeira e Orçamentária","4. Despesa pública","4.6. Suprimento de fundos",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.1. Conceito, natureza jurídica, objeto e finalidade",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.2. Princípios básicos e correlatos",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.3. Modalidades licitatórias",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.4. Obrigatoriedade, dispensa e inexigibilidade",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.5. Procedimento licitatório",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.6. Anulação, revogação e recursos administrativos",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.7. Sanções e procedimento sancionatório",não informado
Bloco 5,"Administração Financeira e Orçamentária","5. Licitação","5.8. Crimes em licitações e contratos administrativos",não informado
Bloco 5,"Administração Financeira e Orçamentária","6. Contrato administrativo para compras","6.1. Conceito, principais características e espécies",não informado
Bloco 5,"Administração Financeira e Orçamentária","6. Contrato administrativo para compras","6.2. Planejamento de compras públicas (demanda, plano anual, estudos técnicos, riscos, termo de referência)",não informado
Bloco 5,"Administração Financeira e Orçamentária","6. Contrato administrativo para compras","6.3. Execução e inexecução contratual",não informado
Bloco 5,"Administração Financeira e Orçamentária","6. Contrato administrativo para compras","6.4. Duração, prorrogação, renovação e extinção contratual",não informado
Bloco 5,"Administração Financeira e Orçamentária","6. Contrato administrativo para compras","6.5. Revisão e rescisão",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","1. Transparência pública","1.1. Lei de Acesso à Informação (direito de acesso, negativas de acesso, informações classificadas, dados abertos)",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","1. Transparência pública","1.2. Portal da Transparência (transparência ativa e passiva)",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","2. Lei Geral de Proteção de Dados (LGPD)","2.1. Fundamentos e campo de aplicação",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","2. Lei Geral de Proteção de Dados (LGPD)","2.2. Princípios e direitos do titular",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","2. Lei Geral de Proteção de Dados (LGPD)","2.3. Responsabilidades dos agentes, aspectos internacionais, segurança e ANPD",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.1. Finalidades da comunicação pública",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.2. Comunicação política e comunicação de serviço",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.3. Estratégia de comunicação (identidade e narrativa)",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.4. Comunicação das políticas públicas",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.5. Elaboração de relatórios executivos, briefing e notas informativas",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.6. Comunicação em mídias digitais",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","3. Comunicação contemporânea e internet","3.7. A ética na produção de conteúdo com IA generativa",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","4. Atendimento ao cidadão","4.1. Qualidade de serviços públicos, acessibilidade e linguagem simples",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","5. Estatística","5.1. Noções de amostragem (probabilística e não probabilística)",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","5. Estatística","5.2. Noções de inferência estatística (população, amostra, estatística e parâmetro, distribuições amostrais)",não informado
Bloco 5,"Transparência, Proteção de Dados, Comunicação e Atendimento ao Cidadão","5. Estatística","5.3. Estatísticas de localização: média, mediana, moda",não informado
